State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AZAMGARH,2005,Kharif     ,Sugarcane,26219,1013522
Uttar Pradesh,AZAMGARH,2005,Rabi       ,Barley,4240,7094
Uttar Pradesh,AZAMGARH,2005,Rabi       ,Gram,4585,4845
Uttar Pradesh,AZAMGARH,2005,Rabi       ,Linseed,3,1
Uttar Pradesh,AZAMGARH,2005,Rabi       ,Potato,5571,167526
Uttar Pradesh,AZAMGARH,2005,Rabi       ,Rapeseed &Mustard,1201,1393
Uttar Pradesh,AZAMGARH,2005,Rabi       ,Turmeric,1,4
Uttar Pradesh,AZAMGARH,2005,Rabi       ,Wheat,222018,532399
Uttar Pradesh,AZAMGARH,2005,Summer     ,Sunflower,6,8
Uttar Pradesh,AZAMGARH,2005,Whole Year ,Banana,1,38
Uttar Pradesh,AZAMGARH,2005,Whole Year ,Coriander,45,26
Uttar Pradesh,AZAMGARH,2005,Whole Year ,Dry chillies,25,23
Uttar Pradesh,AZAMGARH,2005,Whole Year ,Garlic,25,109
Uttar Pradesh,AZAMGARH,2005,Whole Year ,Guar seed,13,10
Uttar Pradesh,AZAMGARH,2005,Whole Year ,Onion,807,10422
Uttar Pradesh,AZAMGARH,2005,Whole Year ,Sweet potato,14,183
Uttar Pradesh,AZAMGARH,2005,Whole Year ,Tobacco,81,463
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Arhar/Tur,10234,3615
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Bajra,96,148
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Dry ginger,8,25
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Groundnut,63,45
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Jowar,8,10
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Maize,7926,12127
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Other Kharif pulses,520,281
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Rice,207566,304914
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Sannhamp,83,23
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Sesamum,56,9
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Small millets,55,35
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Sugarcane,20697,842037
Uttar Pradesh,AZAMGARH,2006,Kharif     ,Sweet potato,61,833
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Barley,3413,5996
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Garlic,57,251
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Gram,2995,3156
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Linseed,1,
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Maize,7,20
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Masoor,89,82
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Onion,82,1573
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Other  Rabi pulses,6411,6200
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Potato,3820,95034
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Rapeseed &Mustard,873,900
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Tobacco,211,1123
Uttar Pradesh,AZAMGARH,2006,Rabi       ,Wheat,221335,542049
Uttar Pradesh,AZAMGARH,2006,Summer     ,Maize,548,727
Uttar Pradesh,AZAMGARH,2006,Summer     ,Onion,625,7278
Uttar Pradesh,AZAMGARH,2006,Summer     ,Sunflower,2,3
Uttar Pradesh,AZAMGARH,2006,Whole Year ,Coriander,73,38
Uttar Pradesh,AZAMGARH,2006,Whole Year ,Dry chillies,24,23
Uttar Pradesh,AZAMGARH,2006,Whole Year ,Guar seed,24,20
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Arhar/Tur,10018,6648
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Bajra,113,176
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Dry chillies,25,24
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Groundnut,63,38
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Guar seed,8,7
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Jowar,6,5
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Maize,6146,9803
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Moong(Green Gram),4,1
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Rice,215737,416372
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Sannhamp,37,7
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Sesamum,60,9
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Small millets,93,56
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Sugarcane,21399,886090
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Sweet potato,12,162
Uttar Pradesh,AZAMGARH,2007,Kharif     ,Urad,133,58
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Barley,3842,8168
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Coriander,69,40
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Gram,4029,5115
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Masoor,120,139
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Onion,114,1593
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Other  Rabi pulses,7773,10952
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Potato,5774,121774
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Rapeseed &Mustard,1299,1503
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Turmeric,2,6
Uttar Pradesh,AZAMGARH,2007,Rabi       ,Wheat,229059,594179
Uttar Pradesh,AZAMGARH,2007,Summer     ,Maize,548,787
Uttar Pradesh,AZAMGARH,2007,Summer     ,Moong(Green Gram),76,48
Uttar Pradesh,AZAMGARH,2007,Summer     ,Onion,625,5214
Uttar Pradesh,AZAMGARH,2007,Summer     ,Urad,197,111
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Arhar/Tur,6814,3249
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Bajra,268,446
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Dry chillies,21,21
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Groundnut,32,23
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Guar seed,25,21
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Jowar,2,2
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Maize,7140,6897
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Moong(Green Gram),3,1
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Rice,213081,419343
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Sannhamp,41,13
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Sesamum,61,10
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Small millets,38,24
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Sugarcane,21399,912282
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Sweet potato,18,221
Uttar Pradesh,AZAMGARH,2008,Kharif     ,Urad,183,98
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Barley,3726,8755
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Coriander,45,27
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Garlic,36,212
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Gram,1719,2363
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Linseed,1,1
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Maize,6,16
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Masoor,101,119
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Onion,99,1160
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Peas & beans (Pulses),7397,9291
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Potato,5845,114714
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Rapeseed &Mustard,1746,1975
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Tobacco,63,329
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Wheat,231715,632582
Uttar Pradesh,AZAMGARH,2008,Summer     ,Banana,1,38
Uttar Pradesh,AZAMGARH,2008,Summer     ,Maize,393,588
Uttar Pradesh,AZAMGARH,2008,Summer     ,Moong(Green Gram),52,39
Uttar Pradesh,AZAMGARH,2008,Summer     ,Sunflower,9,17
Uttar Pradesh,AZAMGARH,2008,Summer     ,Urad,138,86
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Arhar/Tur,8796,7277
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Bajra,67,114
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Dry chillies,21,19
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Groundnut,90,61
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Guar seed,44,37
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Maize,6397,10395
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Moong(Green Gram),1,
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Rice,190222,332128
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Sannhamp,14,3
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Sesamum,57,6
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Small millets,37,18
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Sugarcane,18820,812121
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Sweet potato,21,286
Uttar Pradesh,AZAMGARH,2009,Kharif     ,Urad,257,98
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Barley,3871,8699
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Coriander,60,34
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Garlic,28,149
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Gram,4084,4212
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Linseed,5,2
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Maize,9,27
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Masoor,128,135
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Onion,119,2044
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Peas & beans (Pulses),7259,8777
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Potato,5386,130282
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Rapeseed &Mustard,1651,1842
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Tobacco,97,556
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Turmeric,7,23
Uttar Pradesh,AZAMGARH,2009,Rabi       ,Wheat,234688,607136
Uttar Pradesh,AZAMGARH,2009,Summer     ,Banana,2,82
Uttar Pradesh,AZAMGARH,2009,Summer     ,Maize,321,467
Uttar Pradesh,AZAMGARH,2009,Summer     ,Moong(Green Gram),37,27
Uttar Pradesh,AZAMGARH,2009,Summer     ,Onion,689,5291
Uttar Pradesh,AZAMGARH,2009,Summer     ,Sunflower,23,51
Uttar Pradesh,AZAMGARH,2009,Summer     ,Tobacco,1,4
Uttar Pradesh,AZAMGARH,2009,Summer     ,Urad,170,105
Uttar Pradesh,AZAMGARH,2010,Kharif     ,Arhar/Tur,8678,6892
